No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
44,Matthew Adams,27,LB,2,0,229,6-0,Houston,12/12/1995,4,,Indianapolis Colts / 7th / 221st pick / 2018
90,Angelo Blackson,30,DT,4,3,315,6-4,Auburn,11/14/1992,7,,Tennessee Titans / 4th / 100th pick / 2015
39,Josh Blackwell,23,CB,4,0,180,5-11,Duke,4/5/1999,Rook,,
35,Khari Blasingame,26,RB,4,0,233,6-0,Vanderbilt,7/1/1996,3,,
75,Larry Borom,23,OL,4,4,333,6-5,Missouri,3/30/1999,1,,Chicago Bears / 5th / 151st pick / 2021
9,Jaquan Brisker,23,S,4,4,200,6-1,"Lackawanna,Penn St.",4/20/1999,Rook,,Chicago Bears / 2nd / 48th pick / 2022
69,Ja'Tyre Carter,23,OL,0,0,275,6-5,Southern,1/15/1999,Rook,,Chicago Bears / 7th / 226th pick / 2022
29,Dane Cruikshank,27,CB,2,0,209,6-1,Arizona,4/27/1995,4,,Tennessee Titans / 5th / 152nd pick / 2018
25,Trestan Ebner,23,RB,4,0,215,5-11,Baylor,1/2/1999,Rook,,Chicago Bears / 6th / 203rd pick / 2022
1,Justin Fields,23,QB,4,4,228,6-3,"Georgia,Ohio St.",3/5/1999,1,,Chicago Bears / 1st / 11th pick / 2021
16,Trenton Gill,23,P,4,0,219,6-4,North Carolina St.,1/1/1999,Rook,,Chicago Bears / 7th / 255th pick / 2022
99,Trevis Gipson,25,DL,4,0,263,6-4,Tulsa,6/13/1997,2,,Chicago Bears / 5th / 155th pick / 2020
6,Kyler Gordon,23,DB,4,4,190,6-0,Washington,12/17/1999,Rook,,Chicago Bears / 2nd / 39th pick / 2022
84,Ryan Griffin,32,TE,2,0,255,6-6,Connecticut,1/11/1990,9,,Houston Texans / 6th / 201st pick / 2013
24,Khalil Herbert,24,RB,4,1,212,5-9,"Kansas,Virginia Tech",4/21/1998,1,,Chicago Bears / 6th / 217th pick / 2021
37,Elijah Hicks,23,S,2,0,20,5-11,California,10/16/1999,Rook,,Chicago Bears / 7th / 254th pick / 2022
36,DeAndre Houston-Carson,29,FS,4,0,202,6-0,William & Mary,4/13/1993,6,,Chicago Bears / 6th / 185th pick / 2016
4,Eddie Jackson,29,SS,4,4,206,6-0,Alabama,12/10/1993,5,,Chicago Bears / 4th / 112th pick / 2017
23,Lamar Jackson,24,DB,3,0,215,6-3,Nebraska,4/13/1998,2,,
76,Teven Jenkins,24,T,4,2,320,6-6,Oklahoma St.,3/3/1998,1,,Chicago Bears / 2nd / 39th pick / 2021
33,Jaylon Johnson,23,CB,2,2,196,6-0,Utah,4/19/1999,2,,Chicago Bears / 2nd / 50th pick / 2020
59,Kingsley Jonathan,24,DE,2,0,260,6-4,Syracuse,4/28/1998,Rook,,
70,Braxton Jones,23,OL,4,4,310,6-7,Southern Utah,3/27/1999,Rook,,Chicago Bears / 5th / 168th pick / 2022
31,Jaylon Jones,25,DB,4,0,190,5-11,Mississippi,10/14/1997,Rook,,
93,Justin Jones,26,DT,4,4,309,6-3,North Carolina St.,8/28/1996,4,,Los Angeles Chargers / 3rd / 84th pick / 2018
12,Velus Jones Jr.,25,WR,1,0,200,6-0,"USC,Tennessee",5/11/1997,Rook,,Chicago Bears / 3rd / 71st pick / 2022
85,Cole Kmet,23,TE,4,4,260,6-6,Notre Dame,3/10/1999,2,,Chicago Bears / 2nd / 43rd pick / 2020
32,David Montgomery,25,RB,3,3,224,5-11,Iowa St.,6/7/1997,3,,Chicago Bears / 3rd / 73rd pick / 2019
11,Darnell Mooney,25,WR,4,4,173,5-11,Tulane,10/29/1997,2,,Chicago Bears / 5th / 173rd pick / 2020
53,Nicholas Morrow,27,MLB,4,4,225,6-0,Greenville,7/10/1995,5,,
55,Al-Quadin Muhammad,27,DE,4,4,250,6-4,Miami (FL),3/28/1995,5,,New Orleans Saints / 6th / 196th pick / 2017
67,Sam Mustipher,26,C,4,4,332,6-2,Notre Dame,8/13/1996,2,,
62,Lucas Patrick,29,G,4,2,313,6-3,Duke,7/30/1993,5,,
63,Mike Pennel,31,DT,4,0,330,6-4,"Arizona St.,Colorado State-Pueblo",5/9/1991,8,,
18,Dante Pettis,27,WR,4,2,195,6-1,Washington,10/23/1995,4,,San Francisco 49ers / 2nd / 44th pick / 2018
94,Robert Quinn,32,DE,4,4,245,6-4,North Carolina,5/18/1990,11,,St. Louis Rams / 1st / 14th pick / 2011
71,Riley Reiff,34,OT,3,0,313,6-5,Iowa,12/1/1988,10,,Detroit Lions / 1st / 23rd pick / 2012
91,Dominique Robinson,24,DE,4,0,249,6-4,Miami (OH),7/2/1998,Rook,,Chicago Bears / 5th / 174th pick / 2022
57,Jack Sanborn,22,LB,4,0,236,,Wisconsin,7/29/2000,Rook,,
2,Cairo Santos,31,K,3,0,175,5-8,Tulane,11/12/1991,8,,
48,Patrick Scales,34,LS,4,0,226,6-3,Utah St.,2/11/1988,8,,
73,Michael Schofield,32,OT,0,0,301,6-6,Michigan,11/15/1990,8,,Denver Broncos / 3rd / 95th pick / 2014
15,Trevor Siemian,31,QB,0,0,220,6-3,Northwestern,12/26/1991,7,,Denver Broncos / 7th / 250th pick / 2015
58,Roquan Smith,25,ILB,4,4,232,6-1,Georgia,4/8/1997,4,,Chicago Bears / 1st / 8th pick / 2018
17,Ihmir Smith-Marsette,23,WR,4,0,185,6-1,Iowa,8/29/1999,1,,Minnesota Vikings / 5th / 157th pick / 2021
19,Equanimeous St. Brown,26,WR,4,4,214,6-5,Notre Dame,9/30/1996,4,,Green Bay Packers / 6th / 207th pick / 2018
45,Joe Thomas,31,LB,2,2,233,6-1,South Carolina St.,5/6/1991,8,,
46,Jake Tonges,23,TE,3,0,240,6-4,California,7/8/1999,Rook,,
22,Kindle Vildor,25,CB,4,4,189,5-11,Georgia Southern,12/11/1997,2,,Chicago Bears / 5th / 163rd pick / 2020
96,Armon Watts,26,DL,4,1,307,6-5,Arkansas,7/22/1996,3,,Minnesota Vikings / 6th / 190th pick / 2019
50,Sterling Weatherford,23,DB,4,0,221,,Miami (OH),1/26/1999,Rook,,
88,Trevon Wesco,27,TE,3,1,267,6-3,West Virginia,9/12/1995,3,,New York Jets / 4th / 121st pick / 2019
72,Alex Leatherwood (NON),23,T,0,0,312,6-5,Alabama,1/5/1999,1,,Las Vegas Raiders / 1st / 17th pick / 2021
8,N'Keal Harry (IRD),25,WR,0,0,225,6-4,Arizona St.,12/17/1997,3,,New England Patriots / 1st / 32nd pick / 2019
78,Dakota Dozier (IR),31,OT,0,0,312,6-4,Furman,4/30/1991,8,,New York Jets / 4th / 137th pick / 2014
68,Doug Kramer (IR),24,OL,0,0,300,6-2,Illinois,6/4/1998,Rook,,
13,Byron Pringle (IR),29,WR,3,1,201,6-1,Kansas St.,11/17/1993,4,,
65,Cody Whitehair (IR),30,OG,4,4,316,6-3,Kansas St.,7/11/1992,6,,Chicago Bears / 2nd / 56th pick / 2016
